no.,pcd_name,y_test,y_no_pca,y_with_pca
194,20-0.25-60,13.26,14.179799999999998,14.085399999999998
195,20-0.25-75,13.26,13.829599999999997,13.701399999999996
196,20-0.25-90,13.26,14.742599999999992,14.829999999999993
197,20-0.35-0,13.26,13.933999999999992,14.113399999999992
198,20-0.35-15,13.26,13.95499999999999,14.013999999999994
199,20-0.35-30,13.26,13.696399999999997,13.951999999999996
200,20-0.35-45,13.26,13.7278,13.2262
201,20-0.35-60,13.26,13.597599999999995,13.762999999999995
202,20-0.35-75,13.26,14.024199999999992,13.831399999999995
203,20-0.35-90,13.26,14.747999999999998,14.396799999999999
204,20-0.45-0,13.26,14.24599999999999,14.129799999999989
205,20-0.45-15,13.26,14.124799999999993,14.132999999999992
206,20-0.45-30,13.26,14.393599999999992,14.345799999999995
207,20-0.45-45,13.26,14.349599999999993,14.356799999999991
208,20-0.45-60,13.26,14.22819999999999,14.313199999999993
209,20-0.45-75,13.26,14.392999999999997,14.444
210,20-0.45-90,13.26,15.500999999999994,15.489599999999994
